timestamp,plant,line,shift,product_family,cycle_time_sec,cavity,efficiency_pct,downtime_rate,scrap_rate,units_per_hour,effective_units_per_hour,good_units_per_hour,material_cost_per_unit,labor_cost_per_hour,energy_cost_per_hour,overhead_cost_per_hour,total_cost_per_hour,cost_per_unit,cost_per_good_unit,scrap_cost_per_unit_proxy
2025-09-21 22:33:00,PL01,LINE_B,B,PREMIUM,76.55,2,0.9733,0.1003,0.0766,91.55,82.37,76.06,3.54,58.6,24.6,20.7,103.9,4.803,4.908,0.271
2025-09-21 22:46:00,PL03,LINE_B,A,STANDARD,33.79,1,0.7464,0.0443,0.15,79.52,76.0,64.6,1.85,47.49,16.71,16.67,80.87,2.917,3.105,0.278
2025-09-21 23:09:00,PL01,LINE_C,A,STANDARD,25.43,2,0.8628,0.0612,0.15,244.25,229.3,194.91,1.83,52.92,10.83,19.69,83.44,2.197,2.261,0.275
2025-09-21 23:34:00,PL01,LINE_A,A,PREMIUM,43.1,1,0.8765,0.0526,0.0428,73.2,69.35,66.38,3.11,55.0,24.38,28.46,107.85,4.666,4.735,0.133
2025-09-21 23:40:00,PL01,LINE_A,C,PREMIUM,52.65,1,0.8529,0.2388,0.15,58.31,44.39,37.73,2.99,58.58,24.03,12.52,95.13,5.138,5.516,0.449
2025-09-22 01:45:00,PL02,LINE_B,C,PREMIUM,79.58,1,0.8094,0.25,0.0222,36.62,27.46,26.85,3.1,51.91,14.82,24.93,91.66,6.435,6.511,0.069
2025-09-22 01:47:00,PL03,LINE_B,B,PREMIUM,68.5,2,0.8332,0.0844,0.0806,87.59,80.19,73.73,3.67,47.44,15.64,24.07,87.15,4.76,4.855,0.296
2025-09-22 01:52:00,PL01,LINE_C,C,STANDARD,32.37,1,0.8662,0.1841,0.0179,96.32,78.59,77.19,1.88,59.74,15.74,30.48,105.96,3.23,3.255,0.034
2025-09-22 02:29:00,PL01,LINE_A,B,PREMIUM,36.9,1,0.8264,0.1853,0.0988,80.62,65.68,59.19,3.24,54.79,18.8,12.34,85.93,4.544,4.688,0.32
2025-09-22 03:38:00,PL01,LINE_B,A,PREMIUM,43.38,1,0.8791,0.0292,0.0848,72.95,70.82,64.82,3.95,51.23,16.48,28.02,95.73,5.304,5.429,0.335
2025-09-22 04:43:00,PL01,LINE_C,B,STANDARD,20.36,1,0.8123,0.1293,0.0342,143.63,125.05,120.78,2.48,57.62,14.65,19.98,92.26,3.215,3.241,0.085
2025-09-22 06:07:00,PL02,LINE_A,B,STANDARD,47.53,2,0.9061,0.1069,0.0095,137.27,122.6,121.44,2.44,53.39,18.67,20.64,92.7,3.198,3.205,0.023
2025-09-22 06:19:00,PL02,LINE_D,B,STANDARD,25.69,2,0.7253,0.2198,0.15,203.3,158.62,134.82,2.15,50.99,21.49,15.47,87.95,2.703,2.801,0.322
2025-09-22 07:29:00,PL01,LINE_C,B,STANDARD,43.25,1,0.742,0.0682,0.15,61.76,57.55,48.92,2.36,59.12,18.29,22.46,99.88,4.098,4.404,0.354
2025-09-22 08:31:00,PL01,LINE_B,A,STANDARD,25.89,1,0.87,0.0254,0.0345,120.95,117.88,113.81,2.08,53.98,16.39,32.67,103.04,2.955,2.986,0.072
2025-09-22 09:03:00,PL02,LINE_A,B,HEAVY,103.1,2,0.7868,0.25,0.1321,54.95,41.21,35.77,3.51,49.83,17.23,13.19,80.25,5.46,5.756,0.464
2025-09-22 09:32:00,PL01,LINE_A,A,STANDARD,43.86,2,0.8435,0.1864,0.15,138.46,112.66,95.76,2.13,54.3,25.91,24.56,104.77,3.057,3.221,0.319
2025-09-22 10:37:00,PL02,LINE_C,C,STANDARD,36.76,1,0.7992,0.0316,0.15,78.26,75.79,64.42,2.16,53.97,22.63,14.39,90.99,3.365,3.577,0.325
2025-09-22 11:48:00,PL02,LINE_D,B,PREMIUM,39.73,1,0.8486,0.2165,0.047,76.9,60.25,57.42,3.97,51.1,16.62,31.91,99.64,5.62,5.701,0.186
2025-09-22 11:54:00,PL03,LINE_C,A,HEAVY,32.72,1,0.864,0.1636,0.0701,95.06,79.51,73.93,6.61,46.01,22.42,20.77,89.2,7.728,7.812,0.463
2025-09-22 12:08:00,PL02,LINE_B,C,STANDARD,51.49,2,0.7904,0.0909,0.0853,110.52,100.47,91.9,2.0,56.31,22.02,23.71,102.04,3.013,3.108,0.17
