,cycle_time_sec,cavity,efficiency_pct,downtime_rate,scrap_rate,units_per_hour,effective_units_per_hour,good_units_per_hour,material_cost_per_unit,labor_cost_per_hour,energy_cost_per_hour,overhead_cost_per_hour,total_cost_per_hour,cost_per_unit,cost_per_good_unit,scrap_cost_per_unit_proxy
cycle_time_sec,1.0,-0.07490175822723595,0.007969944934756622,-0.004714540093173498,0.023131044272686977,-0.4612022303882062,-0.4540653276958319,-0.4550591752774335,0.535958465658486,0.006119881312098687,0.1647998699757912,0.008998339134810115,0.09944682890583678,0.7004408752353883,0.7072559913143944,0.3406043924550733
cavity,-0.07490175822723595,1.0,-0.01038076961730348,-0.018746006615918544,0.036499828749218845,0.844344236540804,0.8337814360696324,0.8275602743036428,-0.10661949589028352,0.026720186528118455,-0.058131279115879224,-0.017891353471595296,-0.02972501414737604,-0.3427357756524983,-0.3567174690589176,-0.037547742594787145
efficiency_pct,0.007969944934756622,-0.01038076961730348,1.0,-0.03584058050986578,-0.020095387796943212,0.08705619496707283,0.0899115739224642,0.09139534467477443,-0.004479560505801942,0.02408584654319182,-0.0020959969118891694,-0.0034829403477574104,0.009102943287724425,-0.05674084821679433,-0.06093630073101786,-0.009415461517503058
downtime_rate,-0.004714540093173498,-0.018746006615918544,-0.03584058050986578,1.0,0.01658046180538803,-0.020724636679122683,-0.14382265177569004,-0.14501255037943023,0.009678377715590164,0.003028788572171703,0.014578122847092286,-0.0005248528778528366,0.009241039987196083,0.08121326348869719,0.08656631038542445,0.00983964141660206
scrap_rate,0.023131044272686977,0.036499828749218845,-0.020095387796943212,0.01658046180538803,1.0,0.012174614429773254,0.009191222079725362,-0.06104241311696957,0.02622227716743488,-0.034323171596434214,-0.025068001818221847,-0.009806767505860922,-0.03806526979677435,0.016710457525501793,0.05509710666471319,0.7504353823571887
units_per_hour,-0.4612022303882062,0.844344236540804,0.08705619496707283,-0.020724636679122683,0.012174614429773254,1.0,0.9885707817905812,0.9845375579800244,-0.28598110841924695,0.021092858121634698,-0.10288896127771627,-0.014971866744946187,-0.05527380317016811,-0.5269047399479255,-0.5403262927041225,-0.16242201243268317
effective_units_per_hour,-0.4540653276958319,0.8337814360696324,0.0899115739224642,-0.14382265177569004,0.009191222079725362,0.9885707817905812,1.0,0.9963102789128424,-0.2828041847690359,0.020247106020716804,-0.10313961795627526,-0.016569377499760535,-0.05690318948005958,-0.5262575589652011,-0.5399325239054918,-0.1615749782026765
good_units_per_hour,-0.4550591752774335,0.8275602743036428,0.09139534467477443,-0.14501255037943023,-0.06104241311696957,0.9845375579800244,0.9963102789128424,1.0,-0.2848081737590857,0.022736625455005124,-0.10096410109551586,-0.015353485509285541,-0.05361547376408376,-0.5266829584169593,-0.5421792298052904,-0.21030849888306258
material_cost_per_unit,0.535958465658486,-0.10661949589028352,-0.004479560505801942,0.009678377715590164,0.02622227716743488,-0.28598110841924695,-0.2828041847690359,-0.2848081737590857,1.0,-0.007782780843933321,0.2683166542357506,-0.0058637482044825015,0.13919833946125787,0.9170030235149418,0.9043270689827082,0.61263889744868
labor_cost_per_hour,0.006119881312098687,0.026720186528118455,0.02408584654319182,0.003028788572171703,-0.034323171596434214,0.021092858121634698,0.020247106020716804,0.022736625455005124,-0.007782780843933321,1.0,-0.010024859374639736,0.015244504227781883,0.5251912357447772,0.020846210793627456,0.02148299282623866,-0.033491077342755006
energy_cost_per_hour,0.1647998699757912,-0.058131279115879224,-0.0020959969118891694,0.014578122847092286,-0.025068001818221847,-0.10288896127771627,-0.10313961795627526,-0.10096410109551586,0.2683166542357506,-0.010024859374639736,1.0,-0.01120355202061821,0.53565341212422,0.2889972303398624,0.28719199104853743,0.1394045083828586
overhead_cost_per_hour,0.008998339134810115,-0.017891353471595296,-0.0034829403477574104,-0.0005248528778528366,-0.009806767505860922,-0.014971866744946187,-0.016569377499760535,-0.015353485509285541,-0.0058637482044825015,0.015244504227781883,-0.01120355202061821,1.0,0.6588374757918475,0.046705542509296975,0.05010986440236889,-0.006602114533697805
total_cost_per_hour,0.09944682890583678,-0.02972501414737604,0.009102943287724425,0.009241039987196083,-0.03806526979677435,-0.05527380317016811,-0.05690318948005958,-0.05361547376408376,0.13919833946125787,0.5251912357447772,0.53565341212422,0.6588374757918475,1.0,0.19998620582337379,0.2015648480977763,0.05464987162707658
cost_per_unit,0.7004408752353883,-0.3427357756524983,-0.05674084821679433,0.08121326348869719,0.016710457525501793,-0.5269047399479255,-0.5262575589652011,-0.5266829584169593,0.9170030235149418,0.020846210793627456,0.2889972303398624,0.046705542509296975,0.19998620582337379,1.0,0.998567411634034,0.5574571020402599
cost_per_good_unit,0.7072559913143944,-0.3567174690589176,-0.06093630073101786,0.08656631038542445,0.05509710666471319,-0.5403262927041225,-0.5399325239054918,-0.5421792298052904,0.9043270689827082,0.02148299282623866,0.28719199104853743,0.05010986440236889,0.2015648480977763,0.998567411634034,1.0,0.5810836265923556
scrap_cost_per_unit_proxy,0.3406043924550733,-0.037547742594787145,-0.009415461517503058,0.00983964141660206,0.7504353823571887,-0.16242201243268317,-0.1615749782026765,-0.21030849888306258,0.61263889744868,-0.033491077342755006,0.1394045083828586,-0.006602114533697805,0.05464987162707658,0.5574571020402599,0.5810836265923556,1.0
